t,P,eps,beta_B,cs2,s,S,L,Phi_nu,Qdot_nu
0.000616,0.015041728,1.22656,0.012263344638664232,0.1,1.518019801980198,3.720636769559308e-19,3.794560000000001e+41,3.79456e+33,5.401005246443707e+19
0.0006169999999999999,0.015072057,1.226845,0.012285216958947544,0.1,1.5174335188620902,3.7146475369941014e-19,3.8068899999999984e+41,3.806889999999998e+33,5.395606940799944e+19
0.000618,0.015102411999999999,1.22713,0.012307100307220913,0.1,1.516847960444994,3.708674719914411e-19,3.81924e+41,3.8192399999999996e+33,5.390214030763571e+19
0.000619,0.015132792999999999,1.227415,0.012328994675802398,0.1,1.5162631253860406,3.7027182549109655e-19,3.83161e+41,3.8316099999999995e+33,5.384826510941678e+19
0.00062,0.015163200000000002,1.2277,0.012350900057017188,0.1,1.515679012345679,3.6967780788918995e-19,3.8440000000000004e+41,3.844e+33,5.379444375946745e+19
0.000621,0.015193633000000002,1.2279849999999999,0.012372816443197598,0.1,1.5150956199876617,3.690854129080783e-19,3.85641e+41,3.8564099999999996e+33,5.3740676203966366e+19
0.0006219999999999999,0.015224092,1.2282700000000002,0.012394743826683057,0.1,1.5145129469790386,3.684946343014693e-19,3.8688399999999986e+41,3.868839999999998e+33,5.368696238914597e+19
0.000623,0.015254576999999998,1.228555,0.012416682199820112,0.1,1.5139309919901418,3.6790546585422644e-19,3.8812900000000004e+41,3.8812899999999996e+33,5.363330226129242e+19
0.000624,0.015285088000000002,1.22884,0.012438631554962406,0.1,1.513349753694581,3.6731790138217994e-19,3.8937600000000005e+41,3.89376e+33,5.3579695766745604e+19
0.000625,0.015315625000000001,1.2291249999999998,0.012460591884470663,0.1,1.5127692307692304,3.667319347319346e-19,3.90625e+41,3.9062499999999996e+33,5.352614285189903e+19
0.0006259999999999999,0.015346187999999997,1.2294100000000001,0.012482563180712695,0.1,1.5121894218942191,3.6614755978068274e-19,3.9187599999999984e+41,3.918759999999998e+33,5.347264346319977e+19
0.000627,0.015376776999999996,1.229695,0.012504545436063412,0.1,1.5116103257529196,3.6556477043601435e-19,3.931289999999999e+41,3.9312899999999983e+33,5.341919754714841e+19
0.000628,0.015407392,1.22998,0.012526538642904763,0.1,1.511031941031941,3.6498356063573454e-19,3.94384e+41,3.94384e+33,5.3365805050299064e+19
0.000629,0.015438032999999999,1.230265,0.012548542793625763,0.1,1.5104542664211171,3.6440392434767603e-19,3.956410000000001e+41,3.95641e+33,5.331246591925921e+19
0.0006299999999999999,0.015468699999999997,1.23055,0.012570557880622482,0.1,1.5098773006134971,3.6382585556951747e-19,3.968999999999999e+41,3.9689999999999986e+33,5.325918010068973e+19
0.0006309999999999999,0.015499393,1.230835,0.012592583896298042,0.1,1.5093010423053341,3.6324934832860027e-19,3.981609999999999e+41,3.9816099999999983e+33,5.320594754130478e+19
0.000632,0.015530112000000002,1.23112,0.012614620833062579,0.1,1.5087254901960783,3.626743966817496e-19,3.99424e+41,3.99424e+33,5.315276818787179e+19
0.000633,0.015560856999999999,1.231405,0.012636668683333263,0.1,1.508150642988365,3.6210099471509375e-19,4.006890000000001e+41,4.00689e+33,5.309964198721144e+19
0.000634,0.015591628,1.2316900000000002,0.012658727439534296,0.1,1.5075764993880052,3.615291365438861e-19,4.019560000000001e+41,4.01956e+33,5.3046568886197486e+19
0.0006349999999999999,0.015622424999999999,1.231975,0.012680797094096875,0.1,1.5070030581039757,3.6095881631232943e-19,4.032249999999999e+41,4.0322499999999986e+33,5.299354883175685e+19
0.000636,0.015653247999999998,1.23226,0.012702877639459204,0.1,1.5064303178484106,3.6039002819339975e-19,4.044959999999999e+41,4.0449599999999985e+33,5.2940581770869465e+19
0.000637,0.015684096999999998,1.232545,0.012724969068066479,0.1,1.5058582773365914,3.598227663886718e-19,4.05769e+41,4.05769e+33,5.288766765056825e+19
0.000638,0.015714972,1.23283,0.012747071372370886,0.1,1.5052869352869356,3.5925702512814694e-19,4.07044e+41,4.07044e+33,5.2834806417939096e+19
0.0006389999999999999,0.015745872999999997,1.233115,0.012769184544831584,0.1,1.5047162904209885,3.586927986700807e-19,4.083209999999999e+41,4.0832099999999986e+33,5.2781998020120764e+19
0.0006399999999999999,0.0157768,1.2334,0.012791308577914707,0.1,1.5041463414634149,3.5813008130081305e-19,4.095999999999998e+41,4.0959999999999984e+33,5.272924240430486e+19
0.000641,0.015807753,1.2336850000000001,0.012813443464093346,0.1,1.5035770871419867,3.5756886733459844e-19,4.108809999999999e+41,4.1088099999999984e+33,5.267653951773574e+19
0.000642,0.015838731999999998,1.23397,0.012835589195847546,0.1,1.5030085261875763,3.5700915111343854e-19,4.12164e+41,4.12164e+33,5.262388930771054e+19
0.000643,0.015869737,1.2342549999999999,0.012857745765664308,0.1,1.5024406573341447,3.5645092700691444e-19,4.13449e+41,4.13449e+33,5.257129172157903e+19
0.0006439999999999999,0.015900768,1.23454,0.012879913166037552,0.1,1.501873479318735,3.558941894120225e-19,4.147359999999999e+41,4.1473599999999985e+33,5.251874670674362e+19
0.000645,0.015931825,1.234825,0.012902091389468143,0.1,1.5013069908814591,3.553389327530081e-19,4.160249999999999e+41,4.1602499999999984e+33,5.246625421065929e+19
0.000646,0.015962907999999998,1.23511,0.01292428042846386,0.1,1.5007411907654922,3.547851514812038e-19,4.17316e+41,4.17316e+33,5.241381418083354e+19
0.000647,0.015994017,1.235395,0.012946480275539402,0.1,1.5001760777170614,3.5423284007486687e-19,4.18609e+41,4.18609e+33,5.236142656482635e+19
0.0006479999999999999,0.016025152,1.23568,0.012968690923216368,0.1,1.4996116504854369,3.536819930390181e-19,4.199039999999999e+41,4.199039999999999e+33,5.230909131025009e+19
0.000649,0.016056313,1.235965,0.012990912364023253,0.1,1.4990479078229229,3.5313260490528225e-19,4.212009999999999e+41,4.2120099999999987e+33,5.225680836476949e+19
0.00065,0.0160875,1.23625,0.01301314459049545,0.1,1.4984848484848488,3.5258467023172907e-19,4.224999999999999e+41,4.224999999999998e+33,5.220457767610161e+19
0.000651,0.016118713000000003,1.236535,0.013035387595175231,0.1,1.4979224712295578,3.5203818360271626e-19,4.2380100000000006e+41,4.2380100000000004e+33,5.215239919201575e+19
0.000652,0.016149952000000002,1.2368200000000003,0.013057641370611729,0.1,1.4973607748184021,3.5149313962873283e-19,4.251040000000001e+41,4.25104e+33,5.210027286033344e+19
0.0006529999999999999,0.016181217,1.2371050000000001,0.013079905909360968,0.1,1.496799758015729,3.5094953294624357e-19,4.264089999999999e+41,4.2640899999999986e+33,5.204819862892833e+19
0.000654,0.016212508,1.23739,0.01310218120398581,0.1,1.4962394195888755,3.5040735821753524e-19,4.277159999999999e+41,4.277159999999999e+33,5.199617644572618e+19
0.000655,0.016243825,1.2376749999999999,0.013124467247055974,0.1,1.4956797583081571,3.49866610130563e-19,4.290249999999999e+41,4.2902499999999985e+33,5.194420625870482e+19
