time,iprog
4.63425,1.555
4.6345,1.555
4.63475,1.555
4.6349993,1.555
4.63525,1.555
4.6355,1.555
4.63575,1.555
4.636,1.555
4.63625,1.555
4.6365,1.555
4.63675,1.555
4.637,1.555
4.63725,1.555
4.6375,1.555
4.63775,1.555
4.638,1.555
4.63825,1.555
4.6385,1.555
4.63875,1.555
4.639,1.555
4.63925,1.555
4.6395,1.555
4.63975,1.555
4.64,1.555
4.64025,1.555
4.6405,1.555
4.64075,1.555
4.641,1.555
4.64125,1.555
4.6415,1.555
4.64175,1.555
4.642,1.555
4.64225,1.555
4.6425,1.555
4.64275,1.555
4.643,1.555
4.64325,1.555
4.6435,1.555
4.64375,1.555
4.644,1.555
4.64425,1.555
4.6445,1.555
4.64475,1.555
4.645,1.555
4.64525,1.555
4.6455,1.555
4.64575,1.555
4.646,1.555
4.64625,1.555
4.6465,1.555
4.64675,1.555
4.647,1.555
4.64725,1.555
4.6475,1.555
4.64775,1.555
4.648,1.555
4.64825,1.555
4.6485,1.555
4.64875,1.555
4.649,1.555
4.64925,1.555
4.6495,1.555
4.64975,1.555
4.65,1.555
